forecast_date,target,target_end_date,location,type,quantile,value
2021-07-18,1 wk ahead inc death,2021-07-24,33,point,NA,3.46950223
2021-07-18,1 wk ahead inc case,2021-07-24,33,point,NA,44.238725
2021-07-18,1 wk ahead cum death,2021-07-24,33,point,NA,1384.4959999999999
2021-07-18,1 wk ahead inc death,2021-07-24,34,point,NA,15.8962805
2021-07-18,1 wk ahead inc case,2021-07-24,34,point,NA,321.52445700000004
2021-07-18,1 wk ahead cum death,2021-07-24,34,point,NA,26551.859999999997
2021-07-18,1 wk ahead inc death,2021-07-24,35,point,NA,20.176756
2021-07-18,1 wk ahead inc case,2021-07-24,35,point,NA,721.746934
2021-07-18,1 wk ahead cum death,2021-07-24,35,point,NA,4399.2529
2021-07-18,1 wk ahead inc death,2021-07-24,36,point,NA,22.9183454
2021-07-18,1 wk ahead inc case,2021-07-24,36,point,NA,4189.30607
2021-07-18,1 wk ahead cum death,2021-07-24,36,point,NA,53787.766
2021-07-18,1 wk ahead inc death,2021-07-24,37,point,NA,63.112686
2021-07-18,1 wk ahead inc case,2021-07-24,37,point,NA,3678.90131
2021-07-18,1 wk ahead cum death,2021-07-24,37,point,NA,13586.823
2021-07-18,1 wk ahead inc death,2021-07-24,38,point,NA,4.97333114
2021-07-18,1 wk ahead inc case,2021-07-24,38,point,NA,93.38699199999999
2021-07-18,1 wk ahead cum death,2021-07-24,38,point,NA,1572.9784999999997
2021-07-18,1 wk ahead inc death,2021-07-24,39,point,NA,26.050826
2021-07-18,1 wk ahead inc case,2021-07-24,39,point,NA,829.810715
2021-07-18,1 wk ahead cum death,2021-07-24,39,point,NA,20463.280999999995
2021-07-18,1 wk ahead inc death,2021-07-24,40,point,NA,34.0661988
2021-07-18,1 wk ahead inc case,2021-07-24,40,point,NA,3476.5175
2021-07-18,1 wk ahead cum death,2021-07-24,40,point,NA,7450.4865
2021-07-18,1 wk ahead inc death,2021-07-24,41,point,NA,13.503048600000001
2021-07-18,1 wk ahead inc case,2021-07-24,41,point,NA,1059.8332999999998
